MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
232029847,2023-02-22T22:01:18,33.68298,-78.24927,6.3,235.2,226
232029847,2023-02-22T22:02:19,33.68192,-78.2509,5.5,225.5,229
232029847,2023-02-22T22:03:53,33.68028,-78.2533,6.3,236.2,231
232029847,2023-02-22T22:05:23,33.6787,-78.25567,6.3,231,227
232029847,2023-02-22T22:06:24,33.67765,-78.25722,6.3,235,230
232029847,2023-02-22T22:07:25,33.67662,-78.2588,6.3,237.3687643,228
232029847,2023-02-22T22:08:56,33.67508,-78.26123,7.1,233.4,228
232029847,2023-02-22T22:09:59,33.67403,-78.26277,6.383386195,232.4,227
232029847,2023-02-22T22:11:30,33.6725,-78.26518,6.3,226.7,230
232029847,2023-02-22T22:12:31,33.6715,-78.26685,6.3,219.4,226
232029847,2023-02-22T22:14:33,33.66942,-78.27007,6.3,228.6,226
232029847,2023-02-22T22:15:34,33.66837,-78.27168,6.3,233.8,229
232029847,2023-02-22T22:16:35,33.66737,-78.2733,6.3,236,226
232029847,2023-02-22T22:18:05,33.66585,-78.27565,6.3,230.8,227
232029847,2023-02-22T22:19:06,33.6648,-78.2773,7.1,231.4,232.9340876
232029847,2023-02-22T22:20:07,33.66375,-78.2789,6.3,232.6,229
232029847,2023-02-22T22:21:11,33.66268,-78.2806,6.3,236.4,228
232029847,2023-02-22T22:22:41,33.66112,-78.28302,6.3,225.6,227
232029847,2023-02-22T22:23:43,33.66008,-78.28465,6.3,233.6,228
232029847,2023-02-22T22:24:44,33.65908,-78.28627,6.3,227,228
232029847,2023-02-22T22:25:45,33.6581,-78.28785,6.3,231.4,228
232029847,2023-02-22T22:26:47,33.65702,-78.28962,7.1,228.7,228
232029847,2023-02-22T22:27:49,33.65595,-78.29127,6.3,234,228
232029847,2023-02-22T22:29:20,33.65442,-78.29372,6.3,237,229
232029847,2023-02-22T22:30:21,33.65337,-78.29538,7.1,230,230
232029847,2023-02-22T22:31:22,33.65235,-78.29713,6.3,240.3,236.4840051
232029847,2023-02-22T22:32:23,33.65132,-78.29875,5.5,243,227
232029847,2023-02-22T22:33:24,33.65032,-78.30038,6.3,235.7,229
232029847,2023-02-22T22:34:25,33.6493,-78.30203,6.3,232.6,229
232029847,2023-02-22T22:35:26,33.64832,-78.30368,7.1,229.9,226
232029847,2023-02-22T22:36:28,33.64728,-78.30535,6.3,236.2,228
232029847,2023-02-22T22:38:01,33.64565,-78.30788,7.1,225.9367658,229
232029847,2023-02-22T22:39:32,33.64413,-78.31032,6.3,234.1,229
232029847,2023-02-22T22:40:34,33.64312,-78.31192,5.5,236.5,231
232029847,2023-02-22T22:41:35,33.64212,-78.31357,6.3,234.4,229
232029847,2023-02-22T22:42:36,33.64113,-78.31518,7.886378489,226.3,226.8217713
232029847,2023-02-22T22:43:39,33.64013,-78.31682,6.3,239.3,226
232029847,2023-02-22T22:45:10,33.63865,-78.31917,7.1,228.1605144,227
232029847,2023-02-22T22:46:12,33.6376,-78.32087,7.1,240.5,230
232029847,2023-02-22T22:47:41,33.63615,-78.32325,6.3,226.4,224
232029847,2023-02-22T22:48:46,33.63513,-78.32495,6.3,231.8,225.4648716
232029847,2023-02-22T22:50:16,33.63373,-78.32727,6.3,224.3,233.803167
232029847,2023-02-22T22:51:18,33.63273,-78.3288,6.441508431,240.3,229
232029847,2023-02-22T22:52:49,33.63115,-78.33107,6.3,231.6,226
232029847,2023-02-22T22:53:50,33.63012,-78.3327,7.1,234.4,229
232029847,2023-02-22T22:54:51,33.62913,-78.3343,6.3,230.8,228
232029847,2023-02-22T22:55:55,33.62803,-78.33598,6.3,229.7,225
232029847,2023-02-22T22:57:25,33.62658,-78.33828,6.3,236.1,230.5996468
232029847,2023-02-22T22:58:28,33.62552,-78.33993,6.3,231.1,227
232029847,2023-02-22T22:59:30,33.62447,-78.34148,7.1,222.7540645,230
232029847,2023-02-22T23:00:28,33.62352,-78.343,6.3,229.7,228
232029847,2023-02-22T23:01:34,33.62238,-78.34468,6.3,226.2,225
232029847,2023-02-22T23:03:03,33.62097,-78.34685,6.3,236.4,231
232029847,2023-02-22T23:04:04,33.61997,-78.34835,6.3,230,226
232029847,2023-02-22T23:05:35,33.61843,-78.35072,6.3,235.3,227
232029847,2023-02-22T23:06:36,33.61747,-78.35228,6.3,233.1,227
232029847,2023-02-22T23:08:38,33.61535,-78.35538,6.3,226.1,226
232029847,2023-02-22T23:10:08,33.61382,-78.35773,6.3,231.5,228
232029847,2023-02-22T23:11:43,33.61227,-78.36017,6.3,228.7,227
232029847,2023-02-22T23:13:13,33.61085,-78.36247,6.3,225.7,228
232029847,2023-02-22T23:14:15,33.60993,-78.36398,6.3,230.8,230.403297
232029847,2023-02-22T23:15:47,33.60837,-78.36635,6.3,233.5,229
232029847,2023-02-22T23:18:18,33.60595,-78.3703,5.5,233.7,226
232029847,2023-02-22T23:19:19,33.60497,-78.37183,6.3,231.9,230
232029847,2023-02-22T23:20:21,33.604,-78.37337,6.3,231.6,227
232029847,2023-02-22T23:21:23,33.60295,-78.37492,5.5,230.9,227
232029847,2023-02-22T23:22:52,33.60153,-78.37722,5.5,235,227
232029847,2023-02-22T23:23:57,33.60055,-78.3788,6.3,228.3,226
232029847,2023-02-22T23:25:26,33.59918,-78.38093,6.3,230.1,228
232029847,2023-02-22T23:27:28,33.5972,-78.38402,6.3,232.7,227
232029847,2023-02-22T23:28:30,33.59622,-78.3856,5.5,234.9,227
232029847,2023-02-22T23:29:33,33.59518,-78.38718,6.3,228.8,226
232029847,2023-02-22T23:30:34,33.59423,-78.38865,5.5,246.5142333,225
232029847,2023-02-22T23:32:07,33.59277,-78.39098,5.5,234.7,231
232029847,2023-02-22T23:33:36,33.59128,-78.39328,7.1,230.5,227
232029847,2023-02-22T23:34:37,33.59027,-78.39478,5.5,245.1843751,230
232029847,2023-02-22T23:36:08,33.58873,-78.39718,6.3,229.9,228
232029847,2023-02-22T23:37:11,33.58772,-78.39882,6.3,225.7494666,227
232029847,2023-02-22T23:38:12,33.58673,-78.40032,6.3,232.1,234.4223526
232029847,2023-02-22T23:39:41,33.58528,-78.40252,6.3,232.4,231
232029847,2023-02-22T23:40:43,33.58427,-78.40408,6.3,233.5,227
232029847,2023-02-22T23:42:14,33.58283,-78.40638,6.3,230.1,230
232029847,2023-02-22T23:43:15,33.58173,-78.40798,6.3,233.8,230
232029847,2023-02-22T23:44:17,33.5807,-78.40952,7.1,226,225
232029847,2023-02-22T23:45:18,33.5797,-78.41107,6.3,235,230
232029847,2023-02-22T23:46:19,33.57867,-78.41263,6.3,234.1,226
232029847,2023-02-22T23:47:21,33.57762,-78.41423,6.3,227.2,229
232029847,2023-02-22T23:48:22,33.57657,-78.41585,6.3,230.6,237.4659973
232029847,2023-02-22T23:49:24,33.5755,-78.41747,7.1,228.9,227
232029847,2023-02-22T23:50:25,33.5745,-78.419,6.3,236.7,228
232029847,2023-02-22T23:51:27,33.5734,-78.4206,7.1,234.7402713,227
232029847,2023-02-22T23:52:28,33.57238,-78.42223,6.3,231.3,228
232029847,2023-02-22T23:53:59,33.57075,-78.42457,5.5,240.3,229
232029847,2023-02-22T23:55:04,33.56972,-78.42625,6.3,229.7,227
232029847,2023-02-22T23:56:05,33.56863,-78.42787,6.3,222.3,224
232029847,2023-02-22T23:57:34,33.5671,-78.43017,7.1,228.8,225
232029847,2023-02-22T23:59:05,33.5655,-78.43257,6.3,231.2,228
232029847,2023-02-23T00:00:06,33.56448,-78.43417,6.3,235.9,232
232029847,2023-02-23T00:01:41,33.56278,-78.43665,7.1,224.3,228
232029847,2023-02-23T00:02:42,33.56173,-78.43817,6.3,231.3,225
232029847,2023-02-23T00:04:47,33.55948,-78.44147,5.5,221.8472252,230
232029847,2023-02-23T00:06:15,33.55792,-78.4437,7.1,230.1,229
232029847,2023-02-23T00:07:48,33.55632,-78.44603,6.3,235.8,229
232029847,2023-02-23T00:09:19,33.55478,-78.44847,6.3,231.4,228
232029847,2023-02-23T00:10:22,33.5537,-78.45,6.3,223.4,228
232029847,2023-02-23T00:11:23,33.55262,-78.4516,6.3,230.2,227
232029847,2023-02-23T00:12:54,33.55098,-78.45397,7.1,230,228
232029847,2023-02-23T00:13:55,33.5499,-78.45553,7.1,234.9,231
232029847,2023-02-23T00:14:58,33.54877,-78.45717,6.3,227.3,227
232029847,2023-02-23T00:17:30,33.54612,-78.46117,7.1,231,228
232029847,2023-02-23T00:19:33,33.5439,-78.4644,6.3,232.9,229
232029847,2023-02-23T00:20:34,33.5428,-78.46598,6.3,230.7,229
232029847,2023-02-23T00:22:38,33.54067,-78.46917,6.3,233.8,228
232029847,2023-02-23T00:24:10,33.53907,-78.4716,6.3,235.6,230
232029847,2023-02-23T00:25:40,33.53753,-78.47392,6.3,228,223
232029847,2023-02-23T00:27:12,33.53585,-78.47632,6.3,224.9,226
232029847,2023-02-23T00:28:16,33.53473,-78.4779,6.3,237.4,227
232029847,2023-02-23T00:29:45,33.53325,-78.4802,6.3,234,226
232029847,2023-02-23T00:31:48,33.53098,-78.48347,6.3,231.2,225
232029847,2023-02-23T00:33:20,33.52942,-78.48582,7.1,232.9,229
232029847,2023-02-23T00:34:21,33.52833,-78.4874,6.3,228.5,224
232029847,2023-02-23T00:35:22,33.52727,-78.48892,6.117777261,232.6,225
232029847,2023-02-23T00:36:24,33.52615,-78.49048,6.3,233.8,224
232029847,2023-02-23T00:37:56,33.52447,-78.49287,7.1,227.4,227
232029847,2023-02-23T00:38:57,33.52338,-78.49445,6.3,232.8,224
232029847,2023-02-23T00:40:29,33.52173,-78.4968,6.3,236.7,231
232029847,2023-02-23T00:41:31,33.5206,-78.49843,6.3,228.3,224
232029847,2023-02-23T00:43:01,33.51888,-78.5007,6.3,227.2,226
232029847,2023-02-23T00:44:03,33.51763,-78.5023,7.1,229.5,228
232029847,2023-02-23T00:45:32,33.51595,-78.50463,7.409269042,230.6,230
232029847,2023-02-23T00:46:34,33.51482,-78.5062,7.1,225.6,225
232029847,2023-02-23T00:48:04,33.51312,-78.5085,7.1,230.7,228
232029847,2023-02-23T00:49:07,33.51193,-78.51017,4.466517482,244.0707655,226
232029847,2023-02-23T00:50:40,33.51018,-78.5126,6.3,233.2,227
232029847,2023-02-23T00:52:10,33.5086,-78.51492,5.5,232.8,230
232029847,2023-02-23T00:53:42,33.50693,-78.51722,6.3,233.2,229
232029847,2023-02-23T00:55:13,33.50522,-78.51957,6.3,223.6,227
232029847,2023-02-23T00:56:45,33.50353,-78.5219,6.3,228.1,228
232029847,2023-02-23T00:58:16,33.50187,-78.52422,6.3,234.6,227
232029847,2023-02-23T00:59:17,33.5007,-78.52578,7.1,228.6,227
232029847,2023-02-23T01:00:17,33.49957,-78.5273,5.5,232.4,227
232029847,2023-02-23T01:01:20,33.49835,-78.52888,6.3,227.6,228
232029847,2023-02-23T01:02:48,33.49673,-78.53112,7.1,233.1,229
232029847,2023-02-23T01:03:51,33.49557,-78.5327,7.1,226.5,225
232029847,2023-02-23T01:05:21,33.49392,-78.53497,6.3,225.6,225
232029847,2023-02-23T01:06:22,33.49277,-78.5365,7.1,235.9,230
232029847,2023-02-23T01:07:54,33.49105,-78.53888,6.3,242.2,235
232029847,2023-02-23T01:08:56,33.48988,-78.54047,7.1,226,228
232029847,2023-02-23T01:09:57,33.48865,-78.54207,7.1,227.5,225
232029847,2023-02-23T01:10:58,33.48752,-78.54362,6.3,223.9,227
232029847,2023-02-23T01:12:27,33.48578,-78.54592,7.9,232.5,226
232029847,2023-02-23T01:13:29,33.4846,-78.54747,6.3,229.2,228
232029847,2023-02-23T01:14:30,33.48348,-78.54898,7.1,226.5,225
232029847,2023-02-23T01:15:31,33.48227,-78.55048,6.3,226.7,226
232029847,2023-02-23T01:16:32,33.48108,-78.55203,6.3,222,225
232029847,2023-02-23T01:17:34,33.47998,-78.55352,6.3,227.6,227
232029847,2023-02-23T01:18:36,33.47878,-78.55503,7.1,235.9,227
232029847,2023-02-23T01:19:37,33.4777,-78.55653,6.3,243.7602553,228
232029847,2023-02-23T01:21:08,33.47593,-78.55885,7.1,231.5,227
232029847,2023-02-23T01:22:13,33.47465,-78.5605,6.3,225.8,230
232029847,2023-02-23T01:23:42,33.47295,-78.56272,6.3,228.1,230
232029847,2023-02-23T01:25:12,33.47118,-78.5649,7.1,226,228
232029847,2023-02-23T01:27:16,33.46877,-78.56795,6.3,216.6,223
232029847,2023-02-23T01:28:47,33.46698,-78.57022,6.3,221.7,224
232029847,2023-02-23T01:30:18,33.46528,-78.57237,6.3,220.2,224
232029847,2023-02-23T01:31:20,33.46412,-78.57382,6.3,226.5,226
232029847,2023-02-23T01:32:21,33.4629,-78.57532,5.5,230.4,224
232029847,2023-02-23T01:33:51,33.4612,-78.57747,6.3,223,225
232029847,2023-02-23T01:34:52,33.46002,-78.57895,6.3,226.9,227
232029847,2023-02-23T01:36:24,33.45832,-78.58112,6.3,228.5,226
232029847,2023-02-23T01:37:25,33.4571,-78.5826,6.3,227.2,227
232029847,2023-02-23T01:38:27,33.45593,-78.58413,6.3,226.1,226
232029847,2023-02-23T01:39:28,33.45482,-78.58557,6.3,226.8,226
232029847,2023-02-23T01:40:29,33.45362,-78.58713,6.3,227.3,230
232029847,2023-02-23T01:41:31,33.45245,-78.5886,6.3,232.8,225
232029847,2023-02-23T01:42:32,33.45133,-78.59008,5.651124005,230.6,228
232029847,2023-02-23T01:44:05,33.4496,-78.59225,6.3,226.4,227
232029847,2023-02-23T01:45:07,33.44842,-78.59367,6.3,225.7,229
232029847,2023-02-23T01:46:37,33.4467,-78.59577,5.761212521,229.1,227
232029847,2023-02-23T01:47:38,33.44555,-78.59717,6.3,223.2,226
232029847,2023-02-23T01:48:40,33.44438,-78.59857,6.3,226.3,227
232029847,2023-02-23T01:49:41,33.44318,-78.59998,4.127320921,225.3,227
232029847,2023-02-23T01:50:43,33.442,-78.6014,6.3,225.8,228
232029847,2023-02-23T01:52:15,33.44025,-78.60343,6.3,219,225
232029847,2023-02-23T01:54:15,33.43795,-78.60618,6.3,222.2,224
232029847,2023-02-23T01:55:17,33.43672,-78.60758,6.3,223.4,228
232029847,2023-02-23T01:56:18,33.43557,-78.60895,6.3,224.7,228
232029847,2023-02-23T01:57:48,33.43377,-78.61107,6.3,223,227.3042533
232029847,2023-02-23T01:59:18,33.43195,-78.61317,6.3,228.4,228
232029847,2023-02-23T02:00:19,33.43075,-78.61465,6.3,224,227
232029847,2023-02-23T02:01:24,33.42947,-78.61613,6.3,223.8,226
232029847,2023-02-23T02:02:25,33.42828,-78.61758,6.3,226.4,226
232029847,2023-02-23T02:03:55,33.42648,-78.6197,5.5,226.6,229
232029847,2023-02-23T02:04:57,33.4253,-78.62107,6.3,225.5,228
232029847,2023-02-23T02:06:27,33.42353,-78.62308,6.3,226.3,227
232029847,2023-02-23T02:07:28,33.42235,-78.62447,6.3,227.4,226.3020662
232029847,2023-02-23T02:08:30,33.4211,-78.62588,6.3,222,226
232029847,2023-02-23T02:09:32,33.41992,-78.6273,5.5,230.3,230
232029847,2023-02-23T02:10:33,33.41872,-78.62863,6.3,226.6,228
232029847,2023-02-23T02:11:35,33.4175,-78.63005,6.3,225.8,230
232029847,2023-02-23T02:12:38,33.41622,-78.63148,6.3,221.1,225
232029847,2023-02-23T02:13:39,33.41503,-78.63293,6.3,228,227
232029847,2023-02-23T02:15:10,33.4133,-78.635,7.083705358,223.5702977,228
232029847,2023-02-23T02:16:11,33.41213,-78.63638,6.3,223.2,227
232029847,2023-02-23T02:17:41,33.41038,-78.63843,6.3,225.3,225
232029847,2023-02-23T02:18:44,33.4092,-78.63983,4.994623045,226.1,227
232029847,2023-02-23T02:19:46,33.408,-78.64125,6.3,218,225
232029847,2023-02-23T02:20:47,33.40682,-78.64265,6.3,223.1,227
232029847,2023-02-23T02:22:18,33.40507,-78.64475,6.3,219.3,223
232029847,2023-02-23T02:23:21,33.40383,-78.64615,6.3,228.9,228
232029847,2023-02-23T02:24:50,33.40212,-78.64822,6.3,226.6,228
232029847,2023-02-23T02:25:53,33.40098,-78.64962,5.5,230.4,232
232029847,2023-02-23T02:27:25,33.39923,-78.65162,6.3,217.7,226
232029847,2023-02-23T02:28:26,33.39802,-78.653,6.3,222.8,227
232029847,2023-02-23T02:29:57,33.39635,-78.65498,6.3,219.2,227
232029847,2023-02-23T02:30:58,33.39518,-78.65633,5.5,224.7,226
232029847,2023-02-23T02:32:30,33.39338,-78.65843,6.3,221.8,226
232029847,2023-02-23T02:34:03,33.39162,-78.6605,6.3,224.5,227
232029847,2023-02-23T02:35:33,33.38992,-78.66247,7.1,223.5,226
232029847,2023-02-23T02:36:34,33.38875,-78.66375,5.5,221.1,225
232029847,2023-02-23T02:37:36,33.3876,-78.6651,5.5,226.3,226
232029847,2023-02-23T02:39:06,33.38585,-78.66703,5.5,217,227
232029847,2023-02-23T02:40:08,33.38468,-78.66838,6.3,222.7,227
232029847,2023-02-23T02:41:41,33.3829,-78.6704,6.3,227.3,227
232029847,2023-02-23T02:43:14,33.38112,-78.67245,6.3,217.6,225
232029847,2023-02-23T02:44:44,33.3794,-78.6744,6.3,220.1,227
232029847,2023-02-23T02:46:16,33.37762,-78.67643,6.3,223.6,227
232029847,2023-02-23T02:47:47,33.37585,-78.67845,5.5,223.5,227
232029847,2023-02-23T02:48:49,33.37468,-78.67982,6.3,222.1,228.3427182
232029847,2023-02-23T02:49:50,33.37355,-78.68112,5.5,222.4,227
232029847,2023-02-23T02:51:20,33.37177,-78.68307,6.3,219.9,226
232029847,2023-02-23T02:52:25,33.37052,-78.68445,7.785103225,222.6,226
232029847,2023-02-23T02:53:26,33.36932,-78.68577,6.3,227.3,228
232029847,2023-02-23T02:54:56,33.36758,-78.6877,5.5,220.6,226
232029847,2023-02-23T02:55:59,33.36632,-78.6891,6.3,221.6,226
232029847,2023-02-23T02:57:28,33.36462,-78.691,6.3,217.6,224
232029847,2023-02-23T02:58:59,33.36278,-78.69307,6.3,222.7,226
232029847,2023-02-23T03:00:00,33.36162,-78.69442,6.3,225.8,229
232029847,2023-02-23T03:02:02,33.35925,-78.69705,6.3,223.1,227
232029847,2023-02-23T03:03:03,33.35808,-78.69838,6.3,223.8,229
232029847,2023-02-23T03:04:33,33.35623,-78.7004,6.3,226.3,228
232029847,2023-02-23T03:05:34,33.35508,-78.70173,6.3,226,229
232029847,2023-02-23T03:06:36,33.35382,-78.70312,6.3,224.1,226
232029847,2023-02-23T03:08:07,33.35205,-78.7051,6.3,222.9,227
232029847,2023-02-23T03:09:39,33.35017,-78.7072,5.5,220.2,226
232029847,2023-02-23T03:11:12,33.34835,-78.70918,6.3,223.8,227
232029847,2023-02-23T03:12:45,33.34647,-78.71122,6.3,225.8,229
232029847,2023-02-23T03:14:44,33.34408,-78.7138,6.3,221.8,227
232029847,2023-02-23T03:15:45,33.34282,-78.71513,5.5,225.8,228
232029847,2023-02-23T03:17:48,33.3403,-78.7178,6.3,220.1,224
